date,value
2011-01-03,621.66
2011-02-01,545.97
2011-03-01,557.73
2011-04-01,589.67
2011-05-02,576.55
2011-06-01,563.40
2011-07-01,571.21
2011-08-01,565.03
2011-09-02,514.55
2011-10-03,494.81
2011-11-01,531.65
2011-12-01,501.94
