date,value
2019-01-02,70.12
2019-02-01,71.28
2019-03-01,70.88
2019-04-01,69.30
2019-05-02,69.43
2019-06-03,69.26
2019-07-01,69.03
2019-08-01,69.07
2019-09-03,72.32
2019-10-01,71.12
2019-11-01,70.85
2019-12-02,71.63
