date,value
2023-01-02,121.91
2023-02-01,117.70
2023-03-01,118.35
2023-04-03,116.06
2023-05-02,123.03
2023-06-01,129.15
2023-07-03,137.13
2023-08-01,144.83
2023-09-01,151.19
2023-10-03,154.95
2023-11-01,149.02
2023-12-01,165.08
