date,value
2012-01-02,2619.25
2012-02-01,2712.25
2012-03-01,2662.70
2012-04-02,2694.15
2012-05-02,2790.55
2012-06-01,2768.35
2012-07-02,2837.05
2012-08-01,2849.45
2012-09-03,2970.25
2012-10-01,2973.65
2012-11-01,2951.90
2012-12-03,2991.00
