date,value
2019-01-02,353.28
2019-02-01,384.98
2019-03-01,397.30
2019-04-01,416.62
2019-05-01,437.77
2019-06-03,396.20
2019-07-01,434.79
2019-08-01,447.65
2019-09-02,428.88
2019-10-01,433.77
2019-11-01,455.45
2019-12-02,464.80
