date,value
2024-01-01,24.84
2024-02-01,25.18
2024-03-01,25.32
2024-04-01,25.57
2024-05-02,25.42
2024-06-03,25.89
2024-07-01,25.94
2024-08-01,26.26
2024-09-02,26.49
2024-10-01,26.92
2024-11-01,26.84
2024-12-02,27.13
