date,value
2020-01-02,35291.80
2020-02-03,36560.96
2020-03-02,35229.23
2020-04-01,31107.24
2020-05-01,37412.59
2020-06-01,40556.25
2020-07-01,43417.37
2020-08-03,46745.42
2020-09-01,50228.26
2020-10-01,47572.94
2020-11-02,46468.14
2020-12-01,51596.22
