date,value
2024-01-01,141.97
2024-02-01,151.82
2024-03-01,150.85
2024-04-01,147.66
2024-05-02,159.13
2024-06-03,160.45
2024-07-01,174.56
2024-08-01,178.98
2024-09-02,182.89
2024-10-01,186.42
2024-11-01,180.55
2024-12-02,179.13
